jako_df.key,jako_df.substrate,jako_polygon_area,jako_df.multiplier,corrected_area,substrate,corrected_mussel_area,"replace_na(substrate, ""unknown"")"
17047,pebble_granule,639.2929155584425,1.0154266118857451,649.155039248069,pebble_granule,292.50413236036985,pebble_granule
17046,boulder,907.7101696201134,1.0416125740049451,945.4823262284717,boulder,465.57913449305516,boulder
17054,pebble_granule,1086.3756286874413,1.0242795143145091,1112.752301315092,pebble_granule,501.39739622940004,pebble_granule
17056,boulder,701.9003420006484,1.1210826975209933,786.8883288009946,boulder,387.48348530982975,boulder
17055,pebble_granule,820.6981950439513,1.0237867836330528,840.2199654374987,pebble_granule,378.59647868840995,pebble_granule
17049,pebble_granule,634.3346916451119,1.0154266118857451,644.1203267387848,pebble_granule,290.23553067791516,pebble_granule
17050,pebble_granule,505.4631135324016,1.0195911582083184,515.3657213580841,pebble_granule,232.21972265475395,pebble_granule
17051,pebble_granule,785.7300467506866,1.064177772475912,836.1564509185399,pebble_granule,376.7654911479318,pebble_granule
17052,boulder,296.7068267017603,1.0154266118857451,301.2840077611394,boulder,148.35977752177905,boulder
17058,boulder,228.7730947965756,1.1856890474341606,271.25375284791664,boulder,133.57212924613535,boulder
17061,boulder,252.6806227331981,1.1149853860995653,281.7352016980535,boulder,138.733456696164,boulder
17059,pebble_granule,460.94954019226134,1.0485291251408106,483.3190181118507,pebble_granule,217.77973134095686,pebble_granule
17060,boulder,569.7390670180321,1.1856890474341606,675.5333716586379,boulder,332.64952053900475,boulder
17062,boulder,2167.508582065406,1.035276180410083,2243.9700058467483,boulder,1104.986930129085,boulder
17064,boulder,1277.387412717566,1.9999999999999996,2554.7748254351313,boulder,1258.0349934148946,boulder
17066,bedrock,352.37451407685876,1.356341704909257,477.94024918957757,bedrock,477.94024918957757,bedrock
17067,boulder,1145.5258463574573,1.0154266118857451,1163.1974289943034,boulder,572.7874939725199,boulder
17065,bedrock,269.75306343333796,1.4461042949778538,390.0910636143835,bedrock,390.0910636143835,bedrock
17074,pebble_granule,823.4060096009634,1.02950343764298,847.6993174600804,pebble_granule,381.96661562290427,pebble_granule
17068,bedrock,421.68861013581045,1.2936435667199802,545.514757661281,bedrock,545.514757661281,bedrock
17069,bedrock,53.12401678785682,1.9999999999999996,106.2480335757136,bedrock,106.2480335757136,bedrock
17070,boulder,48.85142961051315,1.1856890474341606,57.922605040686285,boulder,28.522538787159945,boulder
17072,boulder,77.37116962019354,1.2302442993938187,95.18544036267532,boulder,46.871690470590394,boulder
17071,boulder,276.8186801497359,1.1406062304931168,315.74111129567,boulder,155.4788167297703,boulder
17077,boulder,1101.3134842384607,1.0416125740049451,1147.1419731039775,boulder,564.8813861057262,boulder
17078,boulder,410.77922390401363,1.2936435667199802,531.4019003456535,boulder,261.67558077770843,boulder
17075,boulder,700.9753618389368,1.1033779189624917,773.4407359898257,boulder,380.8615544197899,boulder
17079,bedrock,102.70550664421171,1.666468801480721,171.1555225628497,bedrock,171.1555225628497,bedrock
17080,bedrock,127.91134326229803,1.2302442993938187,157.3622008762481,bedrock,157.3622008762481,bedrock
17081,boulder,474.15755151968915,1.2302442993938187,583.3296247716285,boulder,287.24609047816915,boulder
17082,boulder,647.9220750099339,1.064177772475912,689.5042705220422,boulder,339.5291404118166,boulder
17085,pebble_granule,1230.56039957935,1.035276180410083,1273.9698702404148,pebble_granule,574.040759168356,pebble_granule
17084,boulder,1249.7597333453596,1.0485291251408106,1310.4094798408228,boulder,645.2783881106171,boulder
17083,mud_organic,900.7846404595184,1.0154266118857451,914.6806955005279,mud_organic,914.6806955005279,mud_organic
17086,boulder,143.34050045907497,1.1406062304931168,163.4950679056224,boulder,80.50905881342611,boulder
17087,boulder,126.62312453240156,1.1620882641587653,147.1472469902177,boulder,72.45898309915795,boulder
17088,mud_organic,149.58213129127398,1.0242795143145091,153.21391278915524,mud_organic,153.21391278915524,mud_organic
17089,boulder,330.6513124597259,1.1620882641587653,384.2460097381404,boulder,189.2123413453038,boulder
17090,boulder,303.05375766824,1.2604724140102646,381.9909015029682,boulder,188.10186967259912,boulder
17092,boulder,647.8800894800806,1.0560441249590302,684.18996217337,boulder,336.9122421232217,boulder
17093,pebble_granule,176.80823238752782,1.0560441249590302,186.71729505723968,pebble_granule,84.13333808616125,pebble_granule
17094,boulder,107.76199885085225,1.1033779189624917,118.90221003529177,boulder,58.55042077662855,boulder
17095,boulder,184.62139341095462,1.097858947342143,202.6882486269903,boulder,99.80876083014569,boulder
17096,boulder,257.6660696050385,1.0684834569482253,275.3119327898536,boulder,135.57047850404365,boulder
17097,pebble_granule,418.3613197542727,1.064177772475912,445.2108173461847,pebble_granule,200.60847713073377,pebble_granule
17098,pebble_granule,1256.7437759507447,1.1033779189624917,1386.6633321775967,pebble_granule,624.8195428389008,pebble_granule
17099,pebble_granule,479.8562159612775,1.02950343764298,494.01362390648734,pebble_granule,222.59863622463433,pebble_granule
17105,mud_organic,1952.962462370284,1.0560441249590302,2062.4145346516593,mud_organic,2062.4145346516593,mud_organic
17100,pebble_granule,687.7069743005559,1.1149853860995653,766.7832262638691,pebble_granule,345.5064641670119,pebble_granule
17101,boulder,1188.9231936503202,1.1620882641587653,1381.633690327196,boulder,680.3509699593695,boulder
17104,pebble_granule,2755.857267946936,1.02950343764298,2837.1645310047616,pebble_granule,1278.4039240709506,pebble_granule
17103,pebble_granule,1621.3039889652282,1.0560441249590302,1712.1685523193696,pebble_granule,771.4896235435447,pebble_granule
17102,pebble_granule,4512.972034549341,1.035276180410083,4672.172450225762,pebble_granule,2105.2439959093717,pebble_granule
1789,NA,25503.516967467964,1.4235611722495187,36305.81651069419,NA,36305.81651069419,unknown
1788,NA,76661.82167575136,1.3054072893322786,100074.9008290171,NA,100074.9008290171,unknown
1787,pebble_granule,82830.60048507713,1.0086289605801528,83545.34247149325,pebble_granule,37644.871309449336,pebble_granule
17106,pebble_granule,16111.858824345458,1.0560441249590302,17014.83385361933,pebble_granule,7666.749717253426,pebble_granule
1774,pebble_granule,50696.03605015436,1.0040138635496085,50899.52302136572,pebble_granule,22934.922967195525,pebble_granule
1684,boulder,1208.7751311346074,1.0128175060593827,1224.2686137023563,boulder,602.8604721023828,boulder
1687,boulder,729.7741694697179,1.0278792673207824,750.1197386241661,boulder,369.37771229200496,boulder
1688,pebble_granule,370.35341650107875,1.0334858805631006,382.75502677217014,pebble_granule,172.46639129882837,pebble_granule
1692,pebble_granule,1242.0813001701608,1.00095268516332,1243.26461259647,pebble_granule,560.2052126455299,pebble_granule
1694,boulder,875.1139161908068,1.00952044361902,883.4453888901211,boulder,435.0305956242179,boulder
1693,pebble_granule,1408.7128483470005,1.009827572518618,1422.5570760220398,pebble_granule,640.9929802546305,pebble_granule
1701,pebble_granule,2637.2753864985425,1.0128175060593827,2671.0786797452483,pebble_granule,1203.5669515716388,pebble_granule
1704,pebble_granule,3056.1134609750006,1.001372345997921,3060.307506052362,pebble_granule,1378.9503857978964,pebble_granule
1696,boulder,2687.4059978518635,1.00095268516332,2689.9662496738338,boulder,1324.6066304956375,boulder
1705,pebble_granule,4113.719648327678,1.00095268516332,4117.6387280026975,pebble_granule,1855.3754814920642,pebble_granule
1706,pebble_granule,6356.8608135308605,1.0003427924908679,6359.039897683231,pebble_granule,2865.333141480872,pebble_granule
1707,pebble_granule,5619.797120401752,1.00095268516332,5625.1510177392265,pebble_granule,2534.6486099002555,pebble_granule
1708,pebble_granule,5307.296122064814,1.0025972368271479,5321.08042700562,pebble_granule,2397.636803873359,pebble_granule
1719,pebble_granule,939.5601465923246,1.0059792001209,945.1779647344223,pebble_granule,425.8897240034093,pebble_granule
1710,pebble_granule,2071.6635739044286,1.001372345997921,2074.5066131191147,pebble_granule,934.7562912692295,pebble_granule
1747,boulder,387.1886531636119,1.0576206811866706,409.49872710664874,boulder,201.64741069549152,boulder
1794,pebble_granule,536.9674106668681,1.220774588761456,655.5161699351498,pebble_granule,295.370407595036,pebble_granule
1795,pebble_granule,1651.7245605702046,1.0154266118857451,1677.205074308274,pebble_granule,755.7353565632212,pebble_granule
1714,bedrock,1016.5310642831028,1.190679188286468,1210.3623824885842,bedrock,1210.3623824885842,bedrock
1730,boulder,207.4093112833798,1.2026897738700906,249.44905768595927,boulder,122.8349522310085,boulder
17008,bedrock,569.5613648351282,1.035276180410083,589.6533142956653,bedrock,589.6533142956653,bedrock
17013,pebble_granule,438.0557699520141,1.064177772475912,466.1692134877549,pebble_granule,210.0521648607958,pebble_granule
17025,boulder,288.9943785648793,1.082392200292394,312.8052612869728,boulder,154.03313078923756,boulder
17037,boulder,620.3142577833496,1.1620882641587653,720.8599190603857,boulder,354.9694456433104,boulder
17053,pebble_granule,848.8387177735567,1.1620882641587653,986.4255120882247,pebble_granule,444.47554298540854,pebble_granule
17063,mud_organic,887.585839310661,1.0195911582083184,904.9746739120592,mud_organic,904.9746739120592,mud_organic
17076,boulder,1046.1593277910724,1.1210826975209933,1172.8311212367646,boulder,577.5313648750138,boulder
17091,pebble_granule,320.77125352667645,1.1620882641587653,372.7645092028467,pebble_granule,167.96474300718,pebble_granule
1695,boulder,1101.4269848242402,1.035276180410083,1140.2811218494337,boulder,561.5029314267074,boulder
1709,boulder,3017.578553842148,1.0069799246935383,3038.641024904802,boulder,1496.3028066887473,boulder
1691,pebble_granule,2697.339657271281,1.00095268516332,2699.9093727431978,pebble_granule,1216.5578340740403,pebble_granule
1697,mud_organic,1092.916028495878,1.0702512472361092,1169.6947426220486,mud_organic,1169.6947426220486,mud_organic
1699,pebble_granule,2481.9793044072576,1.040953113521426,2583.6240846184783,pebble_granule,1164.1606018988177,pebble_granule
1690,pebble_granule,2192.7072212267667,1.0086289605801528,2211.6280054025488,pebble_granule,996.5421073731458,pebble_granule
1703,pebble_granule,1610.659793287261,1.0025972368271479,1614.843058218393,pebble_granule,727.635524773048,pebble_granule
